Site,Order#,Ln,Channel,Bill To,Name,Special Customers,Business Unit,"Ship Date
(NO Friday)",Ship To,Cust. Part Number,Item Number,Due Date,Qty Open,Value Open,QtyF,Planner Name,Buyer
W3,E5713345,1,OEM,211885AA,PACCAR INC - DYNACRAFT,RED ALERT,FACTS,Wednesday,10256771,G50-6022-06YEL000,3270-06144-L00,10/9/2024,3000.00,750.00,3000.00,G.Gonzalez,RHTRK124
R3,E1930702,1,Intra-Company,993567SW,DF PWR  FC - CLEVELAND,RED ALERT,FACTS,Thursday,10041396,,3270-06104,10/10/2024,39000.00,7020.00,39000.00,G.Gonzalez,RHTRK124
R3,E4525476,4,Intra-Company,993772A1,DF PWR  FC - QUERETARO,-,FACTS,Thursday,10221557,3270-06164,3270-06164,10/10/2024,18000.00,2880.00,18000.00,G.Gonzalez,RHTRK124
R3,E2541146,1,Intra-Company,993567SW,DF PWR  FC - CLEVELAND,-,FACTS,Wednesday,10041396,,3270-0616-0500,10/16/2024,14500.00,2755.00,14500.00,G.Gonzalez,RHTRK124
R3,E1930751,1,Intra-Company,993567SW,DF PWR  FC - CLEVELAND,-,FACTS,Wednesday,10041396,,3270-06164,10/16/2024,9000.00,1620.00,9000.00,G.Gonzalez,RHTRK124
W3,E5822923,21,OEM,637190A1,"International Motors, LLC",-,FACTS,Wednesday,10225420,3520436C2,3270-061FX-002,10/16/2024,3000.00,750.00,3000.00,G.Gonzalez,RHTRK124
R3,E2541161,1,Intra-Company,993567SW,DF PWR  FC - CLEVELAND,-,FACTS,Wednesday,10041396,,3270-0815-0100,10/16/2024,100.00,29.00,100.00,G.Gonzalez,RHTRK124
R3,E2541178,1,Intra-Company,993567SW,DF PWR  FC - CLEVELAND,-,FACTS,Wednesday,10041396,,3270-1012-0250,10/16/2024,250.00,130.00,250.00,G.Gonzalez,RHTRK124
R3,E2538588,1,Intra-Company,993567SW,DF PWR  FC - CLEVELAND,-,FACTS,Thursday,10041396,,3270-0610-0500,10/17/2024,3000.00,570.00,3000.00,G.Gonzalez,RHTRK124
R3,E1930702,1,Intra-Company,993567SW,DF PWR  FC - CLEVELAND,RED ALERT,FACTS,Thursday,10041396,,3270-06104,10/17/2024,15000.00,2700.00,15000.00,G.Gonzalez,RHTRK124
